,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
0,Pilot,d10012021,arjeO,rating,0.0,31.0,Maca1n.jpg,5.62,65.0,0.0709461499925087,0.7619397606514201
1,Pilot,d10012021,arjeO,rating,1.0,33.0,Kupc1n.jpg,5.526,52.0,-0.019643907955814402,0.19484719070093573
2,Pilot,d10012021,arjeO,rating,2.0,10.0,Stera1.jpg,5.385,33.0,-0.15552899487829863,-0.6339804115343876
3,Pilot,d10012021,arjeO,rating,3.0,58.0,Mackc1.jpg,6.244,72.0,0.6723099389260555,1.0672972983170654
4,Pilot,d10012021,arjeO,rating,4.0,11.0,Wdekb1.jpg,4.514,8.0,-0.9949326169313744,-1.7245430460545497
5,Pilot,d10012021,arjeO,rating,5.0,32.0,Macka1.jpg,4.668,56.0,-0.8465191177394413,0.36933721222416166
6,Pilot,d10012021,arjeO,rating,6.0,51.0,Gora1n.jpg,4.049,5.0,-1.4430642865693541,-1.8554105621969692
7,Pilot,d10012021,arjeO,rating,7.0,25.0,Clifa1.jpg,5.09,65.0,-0.43982758099271585,0.7619397606514201
8,Pilot,d10012021,arjeO,rating,8.0,45.0,Klia1n.jpg,8.306,45.0,2.6595088696647955,-0.11051034696470968
9,Pilot,d10012021,arjeO,rating,9.0,47.0,Kupkd1.jpg,5.852,55.0,0.2945301228011354,0.3257147068433552
10,Pilot,d10012021,arjeO,rating,10.0,55.0,Lewic1.jpg,5.311,79.0,-0.2268445724120845,1.3726548359827109
11,Pilot,d10012021,arjeO,rating,11.0,9.0,Lassc1.jpg,6.925,65.0,1.3286059970410324,0.7619397606514201
12,Pilot,d10012021,arjeO,rating,12.0,40.0,Krab1n.jpg,5.965,29.0,0.40343093714326766,-0.8084704330576135
13,Pilot,d10012021,arjeO,rating,13.0,5.0,Kupb1n.jpg,5.288,62.0,-0.24901022488880148,0.6310722445090006
14,Pilot,d10012021,arjeO,rating,14.0,22.0,Macb1n.jpg,5.708,37.0,0.15575386381647055,-0.4594903900111616
15,Pilot,d10012021,arjeO,rating,15.0,23.0,Lewib1.jpg,4.449,14.0,-1.0575746782786193,-1.4628080137697108
16,Pilot,d10012021,arjeO,rating,16.0,36.0,Gorkf1.jpg,4.522,26.0,-0.9872228247655597,-0.939337949200033
17,Pilot,d10012021,arjeO,rating,17.0,52.0,Picaa1.jpg,4.316,67.0,-1.1857499730352887,0.8491847714130331
18,Pilot,d10012021,arjeO,rating,18.0,19.0,Macc1n.jpg,5.735,65.0,0.18177441237609532,0.7619397606514201
19,Pilot,d10012021,arjeO,rating,19.0,56.0,Luisc1.jpg,5.896,44.0,0.3369339797131159,-0.15413285234551619
20,Pilot,d10012021,arjeO,rating,20.0,29.0,Clifb1.jpg,5.275,31.0,-0.26153863715825026,-0.7212254222960005
21,Pilot,d10012021,arjeO,rating,21.0,2.0,Dekob1.jpg,4.932,36.0,-0.5920959762675558,-0.5031128953919681
22,Pilot,d10012021,arjeO,rating,22.0,53.0,Gorka1.jpg,5.118,60.0,-0.41284330841236394,0.5438272337473876
23,Pilot,d10012021,arjeO,rating,23.0,42.0,Picc1n.jpg,4.493,17.0,-1.015170821366638,-1.3319404976272913
24,Pilot,d10012021,arjeO,rating,24.0,54.0,Kupka1.jpg,5.082,10.0,-0.4475373731585306,-1.6372980352929367
25,Pilot,d10012021,arjeO,rating,25.0,15.0,Clia1n.jpg,6.586,17.0,1.0019035540146346,-1.3319404976272913
26,Pilot,d10012021,arjeO,rating,26.0,59.0,Kraa1n.jpg,5.241,64.0,-0.29430525386296347,0.7183172552706136
27,Pilot,d10012021,arjeO,rating,27.0,35.0,Wdeka1.jpg,3.989,35.0,-1.5008877278129649,-0.5467354007727746
28,Pilot,d10012021,arjeO,rating,28.0,57.0,Lewc1n.jpg,5.178,22.0,-0.355019867168754,-1.113827970723259
29,Pilot,d10012021,arjeO,rating,29.0,18.0,Krasb1.jpg,4.416,57.0,-1.0893775709626043,0.4129597176049682
30,Pilot,d10012021,arjeO,rating,30.0,21.0,Lewb1n.jpg,5.379,58.0,-0.16131133900265987,0.45658222298577467
31,Pilot,d10012021,arjeO,rating,31.0,16.0,Lewa1n.jpg,5.306,37.0,-0.2316631925157186,-0.4594903900111616
32,Pilot,d10012021,arjeO,rating,32.0,14.0,Kupkb1.jpg,5.759,43.0,0.20490378887353944,-0.19775535772632266
33,Pilot,d10012021,arjeO,rating,33.0,39.0,Dekb1n.jpg,5.755,63.0,0.20104889279063168,0.6746947498898072
34,Pilot,d10012021,arjeO,rating,34.0,30.0,Lasse1.jpg,5.428,67.0,-0.11408886198704443,0.8491847714130331
35,Pilot,d10012021,arjeO,rating,35.0,50.0,Gorke1.jpg,4.475,33.0,-1.0325178537397217,-0.6339804115343876
36,Pilot,d10012021,arjeO,rating,36.0,49.0,Hinda1.jpg,5.027,66.0,-0.5005421942985064,0.8055622660322266
37,Pilot,d10012021,arjeO,rating,37.0,43.0,Picac1.jpg,6.179,72.0,0.6096678775788115,1.0672972983170654
38,Pilot,d10012021,arjeO,rating,38.0,34.0,Monb1n.jpg,6.123,17.0,0.5556993324181085,-1.3319404976272913
39,Pilot,d10012021,arjeO,rating,39.0,48.0,Picb1n.jpg,4.266,58.0,-1.2339361740716306,0.45658222298577467
40,Pilot,d10012021,arjeO,rating,40.0,46.0,Deka1n.jpg,8.775,55.0,3.111495435385684,0.3257147068433552
41,Pilot,d10012021,arjeO,rating,41.0,3.0,Fogeg1.jpg,8.589,80.0,2.932242767530492,1.4162773413635175
42,Pilot,d10012021,arjeO,rating,42.0,28.0,Krasa1.jpg,5.4,78.0,-0.1410731345673955,1.3290323306019045
43,Pilot,d10012021,arjeO,rating,43.0,17.0,Picab1.jpg,5.095,81.0,-0.43500896088908175,1.4598998467443238
