,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
0,Exp1,d11032021,ZGrrY,reward_learning,1.0,0.0,56.0,1.0,158.0,1210.0,2.9428665779782093,1.0,1220.0,0.7187243735686539,1
1,Exp1,d11032021,ZGrrY,reward_learning,1.0,1.0,3.0,1.0,152.0,1032.0,2.1478669086320448,1.0,1551.0,1.4910141469033424,1
2,Exp1,d11032021,ZGrrY,reward_learning,1.0,2.0,5.0,-1.0,0.0,1064.0,2.2907881975032653,-1.0,1588.0,1.5773426109921145,1
3,Exp1,d11032021,ZGrrY,reward_learning,1.0,3.0,32.0,-1.0,0.0,789.0,1.0625583712662132,-1.0,1268.0,0.8307180567108443,1
4,Exp1,d11032021,ZGrrY,reward_learning,1.0,4.0,57.0,-1.0,0.0,1509.0,4.278287370868677,-1.0,1428.0,1.2040303338514793,1
5,Exp1,d11032021,ZGrrY,reward_learning,1.0,5.0,27.0,1.0,150.0,1235.0,3.05452383490885,1.0,1505.0,1.38368686722541,1
6,Exp1,d11032021,ZGrrY,reward_learning,1.0,6.0,39.0,-1.0,0.0,703.0,0.6784574074248079,-1.0,1206.0,0.6860595493188483,1
7,Exp1,d11032021,ZGrrY,reward_learning,1.0,7.0,31.0,-1.0,0.0,803.0,1.1250864351473722,-1.0,1587.0,1.5750094092599851,1
8,Exp1,d11032021,ZGrrY,reward_learning,1.0,8.0,12.0,-1.0,0.0,757.0,0.9196370823949926,-1.0,1451.0,1.2576939736904456,1
9,Exp1,d11032021,ZGrrY,reward_learning,1.0,9.0,23.0,1.0,154.0,649.0,0.4372777324546231,1.0,1586.0,1.5726762075278562,1
10,Exp1,d11032021,ZGrrY,reward_learning,1.0,10.0,27.0,1.0,150.0,514.0,-0.1656714549708387,1.0,1350.0,1.0220405987454195,1
11,Exp1,d11032021,ZGrrY,reward_learning,1.0,11.0,18.0,-1.0,0.0,639.0,0.3926148296823667,-1.0,1068.0,0.3640777102850507,1
12,Exp1,d11032021,ZGrrY,reward_learning,1.0,12.0,39.0,-1.0,0.0,601.0,0.2228957991477922,-1.0,1698.0,1.8339948015263008,1
13,Exp1,d11032021,ZGrrY,reward_learning,1.0,13.0,23.0,1.0,154.0,548.0,-0.0138175855451668,1.0,1434.0,1.218029544244253,1
14,Exp1,d11032021,ZGrrY,reward_learning,1.0,14.0,32.0,-1.0,0.0,538.0,-0.0584804883174232,-1.0,1712.0,1.8666596257761063,1
15,Exp1,d11032021,ZGrrY,reward_learning,1.0,15.0,5.0,-1.0,0.0,588.0,0.1648340255438589,-1.0,1646.0,1.7126683114555945,1
16,Exp1,d11032021,ZGrrY,reward_learning,1.0,16.0,3.0,1.0,152.0,619.0,0.3032890241378538,1.0,1802.0,2.0766477816677136,1
17,Exp1,d11032021,ZGrrY,reward_learning,1.0,17.0,48.0,1.0,160.0,530.0,-0.0942108105352284,1.0,1383.0,1.0990362559056757,1
18,Exp1,d11032021,ZGrrY,reward_learning,1.0,18.0,35.0,1.0,147.0,656.0,0.4685417643952027,1.0,1429.0,1.2063635355836082,1
19,Exp1,d11032021,ZGrrY,reward_learning,1.0,19.0,31.0,-1.0,0.0,555.0,0.0174464463954126,-1.0,1387.0,1.1083690628341916,1
20,Exp1,d11032021,ZGrrY,reward_learning,1.0,20.0,58.0,1.0,147.0,570.0,0.0844408005537973,1.0,1649.0,1.7196679166519813,1
21,Exp1,d11032021,ZGrrY,reward_learning,1.0,21.0,56.0,1.0,158.0,635.0,0.3747496685734641,1.0,1550.0,1.4886809451712135,1
22,Exp1,d11032021,ZGrrY,reward_learning,1.0,22.0,58.0,1.0,147.0,447.0,-0.4649129035449568,1.0,1512.0,1.4000192793503126,1
23,Exp1,d11032021,ZGrrY,reward_learning,1.0,23.0,17.0,-1.0,0.0,634.0,0.3702833782962385,-1.0,1661.0,1.747666337437529,1
24,Exp1,d11032021,ZGrrY,reward_learning,1.0,24.0,48.0,1.0,160.0,563.0,0.0531767686132178,1.0,1734.0,1.917990063882944,1
25,Exp1,d11032021,ZGrrY,reward_learning,1.0,25.0,17.0,-1.0,0.0,627.0,0.339019346355659,-1.0,1386.0,1.1060358611020626,1
26,Exp1,d11032021,ZGrrY,reward_learning,1.0,26.0,57.0,-1.0,0.0,535.0,-0.0718793591491002,-1.0,1312.0,0.933378932924519,1
27,Exp1,d11032021,ZGrrY,reward_learning,1.0,27.0,1.0,1.0,158.0,532.0,-0.0852782299807771,1.0,1316.0,0.9427117398530348,1
28,Exp1,d11032021,ZGrrY,reward_learning,1.0,28.0,1.0,1.0,158.0,642.0,0.4060137005140437,,,,0
29,Exp1,d11032021,ZGrrY,reward_learning,1.0,29.0,35.0,1.0,147.0,1041.0,2.188063521127076,1.0,802.0,-0.2565539504612549,1
30,Exp1,d11032021,ZGrrY,reward_learning,1.0,30.0,18.0,-1.0,0.0,420.0,-0.5855027410300492,-1.0,1171.0,0.6043974886943344,1
31,Exp1,d11032021,ZGrrY,reward_learning,1.0,31.0,12.0,-1.0,0.0,516.0,-0.1567388744163874,-1.0,1394.0,1.1247014749590944,1
32,Exp1,d11032021,ZGrrY,reward_learning,2.0,32.0,35.0,1.0,147.0,1386.0,3.7289336667699216,1.0,1271.0,0.8377176619072313,1
33,Exp1,d11032021,ZGrrY,reward_learning,2.0,33.0,31.0,-1.0,0.0,393.0,-0.7060925785151416,-1.0,975.0,0.1470899491970566,1
34,Exp1,d11032021,ZGrrY,reward_learning,2.0,34.0,35.0,1.0,147.0,481.0,-0.3130590341192849,1.0,1184.0,0.634729111212011,1
35,Exp1,d11032021,ZGrrY,reward_learning,2.0,35.0,23.0,1.0,154.0,347.0,-0.9115419312675213,1.0,945.0,0.0770938972331876,1
36,Exp1,d11032021,ZGrrY,reward_learning,2.0,36.0,3.0,1.0,152.0,509.0,-0.1880029063569669,1.0,966.0,0.1260911336078959,1
37,Exp1,d11032021,ZGrrY,reward_learning,2.0,37.0,39.0,-1.0,0.0,420.0,-0.5855027410300492,-1.0,846.0,-0.1538930742475802,1
38,Exp1,d11032021,ZGrrY,reward_learning,2.0,38.0,12.0,-1.0,0.0,526.0,-0.112075971644131,-1.0,999.0,0.2030867907681519,1
39,Exp1,d11032021,ZGrrY,reward_learning,2.0,39.0,31.0,-1.0,0.0,254.0,-1.326906927049506,-1.0,1021.0,0.2544172288749892,1
40,Exp1,d11032021,ZGrrY,reward_learning,2.0,40.0,17.0,-1.0,0.0,260.0,-1.3001091853861522,-1.0,798.0,-0.2658867573897707,1
41,Exp1,d11032021,ZGrrY,reward_learning,2.0,41.0,27.0,1.0,150.0,270.0,-1.2554462826138957,1.0,885.0,-0.0628982066945505,1
42,Exp1,d11032021,ZGrrY,reward_learning,2.0,42.0,57.0,-1.0,0.0,369.0,-0.813283545168557,-1.0,882.0,-0.0698978118909374,1
43,Exp1,d11032021,ZGrrY,reward_learning,2.0,43.0,27.0,1.0,150.0,241.0,-1.3849687006534397,1.0,728.0,-0.4292108786387985,1
44,Exp1,d11032021,ZGrrY,reward_learning,2.0,44.0,58.0,1.0,147.0,359.0,-0.8579464479408134,1.0,660.0,-0.5878685964235684,1
45,Exp1,d11032021,ZGrrY,reward_learning,2.0,45.0,57.0,-1.0,0.0,446.0,-0.4693791938221824,-1.0,620.0,-0.6811966657087271,1
46,Exp1,d11032021,ZGrrY,reward_learning,2.0,46.0,56.0,1.0,158.0,529.0,-0.098677100812454,1.0,700.0,-0.4945405271384096,1
47,Exp1,d11032021,ZGrrY,reward_learning,2.0,47.0,48.0,1.0,160.0,503.0,-0.2148006480203207,1.0,657.0,-0.5948682016199552,1
48,Exp1,d11032021,ZGrrY,reward_learning,2.0,48.0,23.0,1.0,154.0,488.0,-0.2817950021787054,1.0,583.0,-0.767525129797499,1
49,Exp1,d11032021,ZGrrY,reward_learning,2.0,49.0,1.0,1.0,158.0,429.0,-0.5453061285350184,1.0,552.0,-0.839854383493497,1
50,Exp1,d11032021,ZGrrY,reward_learning,2.0,50.0,5.0,-1.0,0.0,340.0,-0.9428059632081006,-1.0,700.0,-0.4945405271384096,1
51,Exp1,d11032021,ZGrrY,reward_learning,2.0,51.0,5.0,-1.0,0.0,666.0,0.513204667167459,-1.0,846.0,-0.1538930742475802,1
52,Exp1,d11032021,ZGrrY,reward_learning,2.0,52.0,48.0,1.0,160.0,426.0,-0.5587049993666954,1.0,611.0,-0.7021954812978878,1
53,Exp1,d11032021,ZGrrY,reward_learning,2.0,53.0,1.0,1.0,158.0,364.0,-0.8356149965546852,1.0,642.0,-0.6298662276018898,1
54,Exp1,d11032021,ZGrrY,reward_learning,2.0,54.0,18.0,-1.0,0.0,527.0,-0.1076096813669053,-1.0,711.0,-0.468875308084991,1
55,Exp1,d11032021,ZGrrY,reward_learning,2.0,55.0,58.0,1.0,147.0,397.0,-0.6882274174062389,1.0,318.0,-1.3858235888116754,1
56,Exp1,d11032021,ZGrrY,reward_learning,2.0,56.0,32.0,-1.0,0.0,500.0,-0.2281995188519977,-1.0,637.0,-0.6415322362625346,1
57,Exp1,d11032021,ZGrrY,reward_learning,2.0,57.0,3.0,1.0,152.0,493.0,-0.2594635507925772,1.0,645.0,-0.622866622405503,1
58,Exp1,d11032021,ZGrrY,reward_learning,2.0,58.0,39.0,-1.0,0.0,549.0,-0.0093512952679411,-1.0,976.0,0.1494231509291856,1
59,Exp1,d11032021,ZGrrY,reward_learning,2.0,59.0,12.0,-1.0,0.0,465.0,-0.3845196785548952,-1.0,704.0,-0.4852077202098938,1
60,Exp1,d11032021,ZGrrY,reward_learning,2.0,60.0,17.0,-1.0,0.0,540.0,-0.0495479077629719,-1.0,675.0,-0.5528705704416338,1
61,Exp1,d11032021,ZGrrY,reward_learning,2.0,61.0,56.0,1.0,158.0,536.0,-0.0674130688718745,1.0,841.0,-0.1655590829082251,1
62,Exp1,d11032021,ZGrrY,reward_learning,2.0,62.0,32.0,-1.0,0.0,533.0,-0.0808119397035514,-1.0,515.0,-0.9261828475822688,1
63,Exp1,d11032021,ZGrrY,reward_learning,2.0,63.0,18.0,-1.0,0.0,368.0,-0.8177498354457826,-1.0,728.0,-0.4292108786387985,1
64,Exp1,d11032021,ZGrrY,reward_learning,3.0,64.0,3.0,1.0,152.0,739.0,0.839243857404931,1.0,915.0,0.0070978452693185,1
65,Exp1,d11032021,ZGrrY,reward_learning,3.0,65.0,35.0,1.0,147.0,461.0,-0.4023848396637978,1.0,444.0,-1.0918401705634255,1
66,Exp1,d11032021,ZGrrY,reward_learning,3.0,66.0,31.0,-1.0,0.0,473.0,-0.3487893563370901,-1.0,429.0,-1.12683819654536,1
67,Exp1,d11032021,ZGrrY,reward_learning,3.0,67.0,31.0,-1.0,0.0,426.0,-0.5587049993666954,-1.0,402.0,-1.1898346433128422,1
68,Exp1,d11032021,ZGrrY,reward_learning,3.0,68.0,23.0,1.0,154.0,435.0,-0.5185083868716646,1.0,492.0,-0.979846487421235,1
69,Exp1,d11032021,ZGrrY,reward_learning,3.0,69.0,27.0,1.0,150.0,534.0,-0.0763456494263258,1.0,371.0,-1.2621638970088402,1
70,Exp1,d11032021,ZGrrY,reward_learning,3.0,70.0,18.0,-1.0,0.0,462.0,-0.3979185493865722,-1.0,494.0,-0.9751800839569772,1
71,Exp1,d11032021,ZGrrY,reward_learning,3.0,71.0,57.0,-1.0,0.0,375.0,-0.7864858035052031,-1.0,589.0,-0.7535259194047251,1
